no;share;id;year;RGO;L;K;RI
1;-0.196561515;10001;81;11.29150796;6.237056746;8.277319775;11.09566501
2;-0.21261479;10001;82;11.31466134;6.280312284;8.459875723;11.10136337
3;-0.21991238;10001;83;11.36176649;6.291380817;8.599856081;11.14058889
4;-0.234265313;10001;84;11.17820703;6.365713829;8.660640928;10.93936968
5;-0.266567618;10001;85;11.01281038;6.201741807;8.633598369;10.73926721
6;-0.257346541;10001;86;10.93182029;6.132437238;8.63685493;10.6652908
7;-0.227482021;10001;87;11.01120275;6.344268881;8.674689941;10.77593733
8;-0.258157104;10001;88;10.90035525;6.047087885;8.63651818;10.63597695
9;-0.207456931;10001;89;10.83786851;6.022232063;8.60265586;10.62547308
10;-0.221544802;10001;90;10.82171664;5.893996019;8.68634359;10.59625273
11;-0.235353738;10001;91;10.82242166;5.885774387;8.689243593;10.58459309
12;-0.238695562;10002;81;8.375652691;2.950629403;6.660470658;8.136853148
13;-0.186479479;10002;82;8.193271707;2.945083857;6.740919976;8.009254997
14;-0.204038039;10002;83;8.033667139;2.945746365;6.687081134;7.826331093
15;-0.20790723;10002;84;8.041086052;2.779377247;6.924576206;7.830530701
16;-0.204272553;10002;85;7.896051034;2.361758179;7.146145484;7.691162511
17;-0.19334057;10002;86;7.738676396;2.361848063;7.580009131;7.545591416
18;-0.169970676;10002;87;7.592285238;2.361902709;7.597504297;7.418636394
19;-0.193013102;10002;88;7.460997352;2.441257263;7.554307583;7.264264853
20;-0.289029479;10002;89;7.37764736;2.453752375;7.512651478;7.082462471
21;-0.34761247;10002;90;6.667159291;2.50541655;7.472488114;6.302562969
22;-0.288511962;10003;81;12.24037405;6.930450853;9.679268594;11.95674152
23;-0.266189218;10003;82;12.28973816;6.846536372;9.792488339;12.02673392
24;-0.293408096;10003;83;12.27848306;6.879765259;10.04047237;11.98945221
25;-0.294438094;10003;84;12.26259083;6.9635148;10.11045615;11.97243447
26;-0.380235583;10003;85;12.3840816;6.735947448;10.20067513;12.00590902
27;-0.516873419;10003;86;12.48707747;6.721358928;10.28902754;11.97227893
28;-0.511712193;10003;87;12.720525;6.980630043;10.53249967;12.21194475
29;-0.50813812;10003;88;12.71775809;7.03624694;10.69121587;12.21172764
30;-0.599872887;10003;89;12.74083563;7.004154399;10.7243913;12.14045579
31;-0.557894588;10003;90;12.83497368;7.009205682;10.76241661;12.27824519
32;-0.246342331;10003;91;13.02556898;7.046265695;10.87262168;12.77997641
33;-0.153430298;10004;81;8.350500813;3.000195983;5.981284889;8.195421848
34;-0.140671372;10004;82;8.54149129;3.263761135;6.122164156;8.399687717
35;-0.163961038;10004;83;8.515678568;3.397140371;6.180724184;8.352036941
36;-0.164115623;10004;84;8.427238246;3.365313908;6.25130523;8.267725717
37;-0.187646225;10004;85;8.154631746;3.355740508;6.33062884;7.973526875
38;-0.178974718;10004;86;8.019563323;3.381860767;6.391535494;7.844313259
39;-0.203806281;10004;87;8.440277766;3.60814305;6.328882164;8.236014276
40;-0.232280001;10004;88;8.327000622;3.384570702;6.704811229;8.101448895
41;-0.254193872;10004;89;8.343187702;3.827994347;6.819489231;8.090881559
42;-0.146191731;10004;90;8.211929535;3.538823911;6.951197626;8.074772278
43;-0.131177098;10004;91;8.107073542;3.320806676;6.956086121;7.986168182
44;-0.174490869;10005;81;9.795111427;4.534267544;7.731510241;9.621163885
45;-0.196589157;10005;82;9.787091433;4.695754249;7.996585668;9.589039709
46;-0.187334761;10005;83;9.765967972;4.726413482;8.053232284;9.576197077
47;-0.126153797;10005;84;9.842958794;4.624388545;8.14396472;9.712798429
48;-0.178951114;10005;85;9.84925161;4.855565952;8.346273843;9.665654731
49;-0.188357428;10005;86;9.75731318;4.86038013;8.286062075;9.562443573
50;-0.173155591;10005;87;9.889639076;4.847349062;8.361213839;9.711868809
51;-0.217844665;10005;88;9.869555121;5.087594734;8.374990607;9.646034757
52;-0.209737882;10005;89;9.877370046;5.034162797;8.45019519;9.661946429
53;-0.219872355;10005;90;9.699442202;5.116506757;8.596376876;9.471751809
54;-0.240224957;10005;91;9.737662613;5.218952021;8.550106967;9.491780764
55;-0.187977046;10006;81;9.606152398;4.270959505;7.023461833;9.419591224
56;-0.270547539;10006;82;9.731115321;4.944865764;7.168160369;9.461281467
57;-0.264455467;10006;83;9.537897428;4.352766941;7.410444129;9.27242303
58;-0.234607786;10006;84;9.049863359;4.054798392;7.172559379;8.811832064
59;-0.409434825;10006;85;9.251476505;4.178761539;7.173671203;8.83919743
60;-0.131256744;10006;86;8.954463073;3.774780249;7.114975061;8.818765601
61;-0.16817458;10006;87;9.022396045;3.626360275;7.052475506;8.850014379
62;-0.219859138;10006;88;9.009933324;3.717552354;6.975299494;8.784912458
63;-0.220232889;10006;89;9.068591716;3.984371842;7.012234388;8.843476419
64;-0.284820765;10006;90;8.9867555;3.998899702;7.086961433;8.696656011
65;-0.306267649;10006;91;8.798784291;4.403033887;7.012630496;8.488902017
66;-0.655328214;10007;81;11.39465753;6.736753928;8.978939003;10.74243226
67;-0.655534148;10007;82;11.54990004;6.871767391;9.397956724;10.89878007
68;-0.439077258;10007;83;11.52235207;6.346569549;9.597182227;11.08547192
69;-0.37357378;10007;84;11.56027814;6.579257655;9.70434933;11.19113967
70;-0.422193676;10007;85;11.76941173;6.836018648;9.79203233;11.35181501
71;-0.480109394;10007;86;11.95190342;7.038337028;10.45206993;11.47484718
72;-0.373615772;10007;87;12.04860601;7.321937733;10.53491744;11.67810682
73;-0.445463151;10007;88;12.21327749;7.458710978;11.07791747;11.76916041
74;-0.389697075;10007;89;12.17374362;6.971202545;11.05395623;11.78290996
75;-0.233666703;10007;90;12.24594421;7.549242566;11.20138371;12.01405684
76;-0.267842144;10007;91;12.35407197;7.310325576;11.17363722;12.09054955
77;-0.141502067;10008;81;10.86486637;5.11138654;9.809774866;10.72251915
78;-0.493570954;10008;82;11.42296229;6.104545178;9.916796447;10.92865217
79;-0.369936079;10008;83;11.53421114;6.183871614;9.986489879;11.16422268
80;-0.326495707;10008;84;11.5035023;6.160727682;10.13016906;11.17856193
81;-0.293448448;10008;85;11.50188814;6.297707241;10.1922639;11.21188477
